id,name,price,rating,img_link
54049100,"Rom, Germany","₹72,778 per night",New,https://a0.muscache.com/im/pictures/a3f024ec-33db-424f-81c0-111570cc6692.jpg?im_w=720
40911919,"Gislaved Ö, Sweden","₹13,848 per night",4.92,https://a0.muscache.com/im/pictures/6e509420-4d7a-462c-b102-4e494dd3c53c.jpg?im_w=720
43601606,"Tocco da Casauria, Italy","₹8,904 per night",5.0,https://a0.muscache.com/im/pictures/8349eedc-0ec4-4afe-b0c5-4752f59674ed.jpg?im_w=720
26774207,"Papes Ķoņuciems, Latvia","₹3,925 per night",4.93,https://a0.muscache.com/im/pictures/269b041f-d704-4488-b6d9-0ac75a510aa0.jpg?im_w=720
47047478,"Belluno, Italy","₹8,904 per night",New,https://a0.muscache.com/im/pictures/25423922-a27d-41bb-beb7-8f2b0da239cd.jpg?im_w=720
3910782,"Mauterndorf, Austria","₹21,993 per night",New,https://a0.muscache.com/im/pictures/f855cee6-6533-4eb8-8d2a-64b7001cc119.jpg?im_w=720
40687505,"Tingsryd SV, Sweden","₹2,137 per night",4.89,https://a0.muscache.com/im/pictures/b09ba8e3-a766-4dfe-a380-1e63ef290a1d.jpg?im_w=720
2626764,"Großwoltersdorf, Germany","₹6,472 per night",4.97,https://a0.muscache.com/im/pictures/8ac726b5-ae32-4563-a172-35411da946b5.jpg?im_w=720
37642923,"VAREKIL, Sweden","₹7,140 per night",New,https://a0.muscache.com/im/pictures/755d58b0-9c96-4ecb-b5f4-449874912ddf.jpg?im_w=720
41848114,"Alfta, Sweden","₹12,876 per night",4.86,https://a0.muscache.com/im/pictures/3504cedd-7f90-4b5c-8cb0-263b4e41570c.jpg?im_w=720
1268699,"Chiang Mai, Thailand","₹4,442 per night",4.86,https://a0.muscache.com/im/pictures/795cc2cb-e20b-4ea7-a90e-1a342e89b940.jpg?im_w=720
47823750,"Stånga, Sweden","₹24,112 per night",5.0,https://a0.muscache.com/im/pictures/5a30857a-f66d-450a-9a45-d2ba09536f95.jpg?im_w=720
625031380868444292,"Anghiari, Italy","₹7,165 per night",4.92,https://a0.muscache.com/im/pictures/miso/Hosting-625031380868444292/original/72bd9953-6873-4413-9b19-f74f5856204a.jpeg?im_w=720
45331024,"Pecol, Italy","₹17,340 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-45331024/original/3fabac2e-edf2-4414-bffb-d49dcbcbebdf.jpeg?im_w=720
52271667,"Stallarholmen, Sweden","₹12,886 per night",4.97,https://a0.muscache.com/im/pictures/f2da0db4-7e4e-4b3b-a019-77faa3046aa3.jpg?im_w=720
23120002,"Rome, Italy","₹8,676 per night",4.86,https://a0.muscache.com/im/pictures/ab480e63-5916-4f18-b6eb-1b99e13d5fa6.jpg?im_w=720
22301036,"Groşi, Romania","₹6,855 per night",4.98,https://a0.muscache.com/im/pictures/060a7f55-7885-4593-89ad-d77f83fbebfd.jpg?im_w=720
50751682,"Agunnaryd, Sweden","₹9,562 per night",4.88,https://a0.muscache.com/im/pictures/de86707d-1160-400a-8b74-0e7776c5b30a.jpg?im_w=720
50213782,"Fethiye, Turkey","₹15,137 per night",4.8,https://a0.muscache.com/im/pictures/miso/Hosting-50213782/original/0f860bf2-3c06-4359-b1de-1a4a11089599.jpeg?im_w=720
25250942,"Rødvig Stevns, Denmark","₹6,935 per night",4.88,https://a0.muscache.com/im/pictures/69c69402-8b0d-4e1e-8e3a-846c87df7c7c.jpg?im_w=720
36412205,"Pracze, Poland","₹3,642 per night",4.95,https://a0.muscache.com/im/pictures/c80f99a6-98a8-4039-8e76-5923b3a411eb.jpg?im_w=720
24220459,"Località Spedaletto, Pienza, Italy","₹7,814 per night",4.98,https://a0.muscache.com/im/pictures/300d5fa8-a049-4d68-bfe0-27c2f948fb13.jpg?im_w=720
638767822272110910,"Vigo di Cadore, Italy","₹12,776 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-635882402140686579/original/52341bc4-4a26-49a0-978a-0da895b5b45a.jpeg?im_w=720
27668878,"Polino, Italy","₹6,870 per night",4.98,https://a0.muscache.com/im/pictures/4f57d270-e6ab-4d82-be23-247a465b3453.jpg?im_w=720
54192230,"Linthe, Germany","₹3,634 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-54192230/original/ea5e53df-b07a-4bdc-bbd6-7704b29332d8.jpeg?im_w=720
27120832,"Ostuni, Italy","₹7,325 per night",4.98,https://a0.muscache.com/im/pictures/05d2a455-ca43-47ba-9725-a20b52871982.jpg?im_w=720
6174012,"Cinisi, Italy","₹3,490 per night",4.75,https://a0.muscache.com/im/pictures/86807319/98a333da_original.jpg?im_w=720
43882039,"Salzburg-Umgebung, Austria","₹7,813 per night",4.67,https://a0.muscache.com/im/pictures/dc7f6606-818b-4846-8974-c90816075b7c.jpg?im_w=720
3184626,"Radicofani, Italy","₹8,711 per night",4.83,https://a0.muscache.com/im/pictures/53218823/5be4ce14_original.jpg?im_w=720
