id,name,price,rating,img_link
603262136014359232,"Arambol, India","₹2,874 per night",4.54,https://a0.muscache.com/im/pictures/miso/Hosting-603262136014359232/original/49775141-f0a5-4011-83d5-829c8fa1df59.jpeg?im_w=720
612163237396681090,"Arambol, India","₹1,438 per night",New,https://a0.muscache.com/im/pictures/d01dea0a-b183-4cf5-b38f-ee0e20c5ce67.jpg?im_w=720
22508539,"Mumbai, India","₹7,706 per night",4.77,https://a0.muscache.com/im/pictures/b6b8676d-191f-42ae-a849-04d7d7d2e3dd.jpg?im_w=720
30325178,"Donde Tarf Nandgaon, India","₹15,328 per night",4.71,https://a0.muscache.com/im/pictures/57518441/c0eb589e_original.jpg?im_w=720
51306182,"Mumbai, India","₹3,081 per night",5.0,https://a0.muscache.com/im/pictures/c4a928a5-b2b1-4f93-a37a-c13158fb7848.jpg?im_w=720
53281540,"Mandrem, India","₹2,058 per night",4.8,https://a0.muscache.com/im/pictures/miso/Hosting-53281540/original/a04a594e-7343-40e9-a43a-fd2865967485.jpeg?im_w=720
645756310046718193,"Seabrook Island, South Carolina, US","₹17,716 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-645756310046718193/original/474a0d53-c94e-47dc-8205-b8c9bb01ebac.jpeg?im_w=720
4569254,"Arambol, India","₹1,732 per night",4.68,https://a0.muscache.com/im/pictures/miso/Hosting-4569254/original/44e38d8c-d347-4965-aae9-6324e9ec4f59.jpeg?im_w=720
657853160607911194,"Mumbai, India","₹4,565 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-657853160607911194/original/43279ebc-9572-4d74-b591-3dbe6652bbb4.jpeg?im_w=720
32436639,"Puri, India","₹1,769 per night",4.91,https://a0.muscache.com/im/pictures/a46343ce-81e7-4875-8af5-8a91e858f7fe.jpg?im_w=720
30577022,"Arambol, Pernam , India","₹1,500 per night",4.67,https://a0.muscache.com/im/pictures/miso/Hosting-30577022/original/1ca05c30-5c1a-42ed-a02d-4b4f83eceeb3.jpeg?im_w=720
24695914,"Visakhapatnam, India","₹2,396 per night",4.92,https://a0.muscache.com/im/pictures/b77a6166-34a5-4133-89ed-64a16200cd06.jpg?im_w=720
51626575,"Kihim, India","₹22,824 per night",4.95,https://a0.muscache.com/im/pictures/miso/Hosting-51626575/original/da63c351-0c7c-4cc4-bae7-b22b0d8d74e6.jpeg?im_w=720
32458926,"Mandve, India","₹13,322 per night",4.77,https://a0.muscache.com/im/pictures/4fad1c2e-745b-4b11-874e-77791dac245c.jpg?im_w=720
696772799750440393,"Kolgaon, India","₹1,82,588 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-696772799750440393/original/f57a7e29-e072-4805-a1c5-8a3a470592c6.jpeg?im_w=720
54188523,"Bheemili, India","₹3,424 per night",4.83,https://a0.muscache.com/im/pictures/797371d3-5921-4cb8-9dac-9055e832bd4f.jpg?im_w=720
696705631945282975,"Kolmandale, India","₹79,882 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-696705631945282975/original/bf71c128-58ef-4763-8670-0b5314ddd763.jpeg?im_w=720
698962819871022963,"Arambol, India","₹3,081 per night",New,https://a0.muscache.com/im/pictures/4621d964-5d87-4960-917b-762debd6fffd.jpg?im_w=720
46611255,"Mumbai, India","₹5,705 per night",4.74,https://a0.muscache.com/im/pictures/04683be6-603d-473b-bc9c-9cfc0e33044e.jpg?im_w=720
41510081,"Mumbai, India","₹3,424 per night",4.87,https://a0.muscache.com/im/pictures/a0a04e0c-bdb9-4ec2-b83b-ee6cade4082b.jpg?im_w=720
5415791,"Mumbai, India","₹2,867 per night",4.74,https://a0.muscache.com/im/pictures/c36859d4-a0d2-4852-8b66-b6528957eae0.jpg?im_w=720
677139856372197158,"Mumbai, India","₹5,791 per night",New,https://a0.muscache.com/im/pictures/78e35d98-573e-49e3-ba39-78d62d36ef87.jpg?im_w=720
47727338,"Mumbai, India","₹12,409 per night",4.81,https://a0.muscache.com/im/pictures/f84e6db3-0b78-4004-9eb1-7fafad41c33e.jpg?im_w=720
13569053,"Ganpati Pule, India","₹9,163 per night",4.7,https://a0.muscache.com/im/pictures/2e7ac480-4d9f-41b9-ad2a-bd5b95502d14.jpg?im_w=720
648860619983439767,"Mumbai, India","₹7,474 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-648860619983439767/original/bf507a3f-3f96-4ef5-ba02-8531b7c0d859.jpeg?im_w=720
52962039,"Alibag, India","₹9,319 per night",4.6,https://a0.muscache.com/im/pictures/d8d5ad02-1509-4b2c-8ae7-961f6b6214c6.jpg?im_w=720
48713022,"Arambol, India","₹8,787 per night",New,https://a0.muscache.com/im/pictures/6c3fdb91-e86c-47d3-942e-545940d95140.jpg?im_w=720
12296433,"Nagaon, India","₹21,511 per night",4.73,https://a0.muscache.com/im/pictures/90510eee-fdc5-409f-86aa-fd87a1b694df.jpg?im_w=720
38684175,"Mumbai, India","₹7,018 per night",4.62,https://a0.muscache.com/im/pictures/45cc2854-f1a6-4764-b9ca-3a018db199a6.jpg?im_w=720
576430996210237176,"Mumbai, India","₹1,963 per night",5.0,https://a0.muscache.com/im/pictures/990ae6e3-ad06-4766-bef2-7a8a032be342.jpg?im_w=720
581713169038591248,"Arambol, India","₹8,216 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-581713169038591248/original/22794283-6e4e-44b5-a179-b0b63bcb28bf.jpeg?im_w=720
31948358,"Walkeshwar, Malabar Hill, Mumbai, India","₹7,227 per night",4.92,https://a0.muscache.com/im/pictures/0fdf5717-7dc0-46d1-bf3a-1024cd40a890.jpg?im_w=720
50760112,"Arambol, India","₹1,026 per night",New,https://a0.muscache.com/im/pictures/dc7b74cc-91b5-4941-a7c1-30f2560f3abd.jpg?im_w=720
45743557,"Mumbai, India","₹4,899 per night",4.92,https://a0.muscache.com/im/pictures/miso/Hosting-45743557/original/e351b3d7-737d-4261-a9c7-e87aca4b745f.jpeg?im_w=720
659065319242711417,"Mumbai, India","₹13,751 per night",5.0,https://a0.muscache.com/im/pictures/ad80241e-6bdf-42fd-b965-ae241e8d458e.jpg?im_w=720
567731500286503847,"Mumbai, India","₹4,577 per night",4.91,https://a0.muscache.com/im/pictures/miso/Hosting-567731500286503847/original/3ede8ecc-6cf4-421b-a023-28974c5361d0.jpeg?im_w=720
607681805844380512,"Mumbai, India","₹9,300 per night",4.64,https://a0.muscache.com/im/pictures/miso/Hosting-607681805844380512/original/56f7f541-5b43-43f1-ae50-31350ca40784.jpeg?im_w=720
