id,name,price,rating,img_link
34846249,"Paris, France","₹14,580 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-34846249/original/4fe9caaa-95b2-4113-b283-5fdfb0d9f2c0.jpeg?im_w=720
53322475,"Paris, France","₹71,294 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-53322475/original/697ded15-e709-4e2e-8c55-b38764aa1ab4.jpeg?im_w=720
718556,"Paris, France","₹23,663 per night",4.67,https://a0.muscache.com/im/pictures/9951555/847c869f_original.jpg?im_w=720
9059138,"Paris, France","₹10,961 per night",4.71,https://a0.muscache.com/im/pictures/5e992dd1-7e31-4741-92bd-7066549cbe25.jpg?im_w=720
33438904,"Caen, France","₹21,610 per night",4.91,https://a0.muscache.com/im/pictures/miso/Hosting-33438904/original/4d8e2a63-8176-4911-9f40-1384c795b2e5.jpeg?im_w=720
17708377,"L'Arboç, Spain","₹23,053 per night",4.57,https://a0.muscache.com/im/pictures/miso/Hosting-17708377/original/de851d05-ba18-40e5-98cf-891c2fe91485.jpeg?im_w=720
4080071,"Paris, France","₹25,842 per night",4.95,https://a0.muscache.com/im/pictures/1ec288ac-83e0-4c34-93c4-0f462f03627a.jpg?im_w=720
50102250,"Cromdale, UK","₹19,335 per night",4.95,https://a0.muscache.com/im/pictures/miso/Hosting-50102250/original/899aaf02-2b6c-4c45-b6e9-6bd3acda1821.jpeg?im_w=720
26862768,"L'Escala, Spain","₹24,265 per night",5.0,https://a0.muscache.com/im/pictures/9d11ec4c-664e-4ef6-9461-ae55ff16bfc8.jpg?im_w=720
48346413,"Na h-Eileanan an Iar, UK","₹36,737 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-48346413/original/ac662c2d-3b3d-4833-b0bf-7c627190ea54.png?im_w=720
18986691,"Mammern, Switzerland","₹7,543 per night",4.94,https://a0.muscache.com/im/pictures/miso/Hosting-18986691/original/677ad90d-5057-4167-b962-3e633e840d43.jpeg?im_w=720
2860420,"Berlin, Germany","₹2,26,496 per night",5.0,https://a0.muscache.com/im/pictures/38610169/c3ee41a7_original.jpg?im_w=720
23645935,"Tarifa, Spain","₹39,695 per night",New,https://a0.muscache.com/im/pictures/8ce20dc7-6859-4454-a6b7-5c41abd873ec.jpg?im_w=720
31799552,"București, Romania","₹4,108 per night",4.82,https://a0.muscache.com/im/pictures/561f098a-da1e-4da0-96eb-192161e7611c.jpg?im_w=720
558735975955761068,"Roubaix, France","₹4,971 per night",4.8,https://a0.muscache.com/im/pictures/miso/Hosting-558735975955761068/original/1d51d318-b910-4311-97a5-278c2886b189.jpeg?im_w=720
558557965618216352,"London, UK","₹20,744 per night",New,https://a0.muscache.com/im/pictures/d0e11adb-13ed-4737-982d-e9cfa1a612ba.jpg?im_w=720
30880139,"Somerset, UK","₹58,272 per night",4.93,https://a0.muscache.com/im/pictures/dfa58dc2-ec3c-4ffc-aed5-740e2935b911.jpg?im_w=720
621611520115589061,"Kassel, Germany","₹10,041 per night",4.94,https://a0.muscache.com/im/pictures/857f52e9-1455-4ad1-9d3a-a5c3abb246ad.jpg?im_w=720
