id,name,price,rating,img_link
25311839,"Emporio, Greece","₹28,662 per night",4.98,https://a0.muscache.com/im/pictures/47b228ee-4089-4bb6-8967-0bccfcc93ad7.jpg?im_w=720
22355864,"Emporio, Greece","₹20,555 per night",5.0,https://a0.muscache.com/im/pictures/8475329d-5f82-4475-bfcf-62f3d55bb8f0.jpg?im_w=720
17350145,"Santorini, Greece","₹14,537 per night",5.0,https://a0.muscache.com/im/pictures/295d536e-95a1-4df3-a01e-7098590f1a2f.jpg?im_w=720
5890898,"Patmos, Greece","₹19,988 per night",New,https://a0.muscache.com/im/pictures/73386817/1943dbf9_original.jpg?im_w=720
30519129,"Drimonas, Greece","₹2,726 per night",4.95,https://a0.muscache.com/im/pictures/a896028e-a95e-44e0-bc7d-d21f13898b25.jpg?im_w=720
48236512,"Gennadi, Greece","₹22,133 per night",4.75,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48236512/original/e5a13fc0-60bb-46fc-be63-66034a982081.png?im_w=720
27365642,"Akrotiri, Greece","₹12,720 per night",4.9,https://a0.muscache.com/im/pictures/7a207052-5f78-4594-b71b-7b343b306b24.jpg?im_w=720
22523742,"Rhodes, Greece","₹81,770 per night",5.0,https://a0.muscache.com/im/pictures/52f6081b-263f-4c78-931c-e028570ddb68.jpg?im_w=720
16734990,"Pefki, Greece","₹12,810 per night",4.91,https://a0.muscache.com/im/pictures/miso/Hosting-16734990/original/122c2593-196d-42b3-80be-69403340564b.jpeg?im_w=720
37700782,"Monolithos, Greece","₹13,628 per night",4.82,https://a0.muscache.com/im/pictures/cbf1ac82-f4f2-4d4a-980f-8e181f43569a.jpg?im_w=720
13393154,"Astipalea, Greece","₹11,849 per night",4.92,https://a0.muscache.com/im/pictures/miso/Hosting-13393154/original/9a53a86e-48f0-4a8e-ac13-007b4446f6f4.jpeg?im_w=720
52170642,"Lachania, Greece","₹46,928 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-52170642/original/5980e435-5adf-49f6-8836-02d3101b6bfd.jpeg?im_w=720
19726266,"Pyrgos Kallistis, Greece","₹31,109 per night",4.78,https://a0.muscache.com/im/pictures/28017de1-422b-4186-a8e8-d2d9f72aef23.jpg?im_w=720
13039221,"Santorini, Greece","₹32,970 per night",4.83,https://a0.muscache.com/im/pictures/miso/Hosting-13039221/original/ac4ffb07-740e-4eb6-a45e-039386a7c5f7.jpeg?im_w=720
18872305,"Kamari, Greece","₹5,030 per night",4.96,https://a0.muscache.com/im/pictures/df014128-bd03-4272-aea8-1482fbeb67f4.jpg?im_w=720
25759953,"Vothonas, Greece","₹48,725 per night",4.8,https://a0.muscache.com/im/pictures/b10a0777-5d38-404f-bd4b-904ce895c88a.jpg?im_w=720
37310030,"Afiartis, Greece","₹24,531 per night",New,https://a0.muscache.com/im/pictures/c71f362c-997c-4823-b9be-239ce1c02a82.jpg?im_w=720
6409516,"Santorini, Greece","₹7,723 per night",4.61,https://a0.muscache.com/im/pictures/f390442c-7a3d-41f5-b6a4-761c55233d4d.jpg?im_w=720
44654769,"Kato Pine, Greece","₹83,133 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-44654769/original/971052ac-80eb-4d04-861c-f42e2c0c0af4.jpeg?im_w=720
26914450,"Arkasa, Greece","₹8,177 per night",5.0,https://a0.muscache.com/im/pictures/fa2e021a-d0b2-4f89-bdf9-cac207368c19.jpg?im_w=720
5976596,"Lindos, Greece","₹21,805 per night",4.95,https://a0.muscache.com/im/pictures/84048440/5cc5f148_original.jpg?im_w=720
3925559,"Έξω Γωνιά, Greece","₹59,712 per night",4.95,https://a0.muscache.com/im/pictures/106479419/37f5e82a_original.jpg?im_w=720
4365404,"Maritsa, Greece","₹6,360 per night",4.77,https://a0.muscache.com/im/pictures/a94f26fe-53f8-4695-8024-a0da83de62ce.jpg?im_w=720
4357396,"Rhodes, Greece","₹22,714 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-4357396/original/9a93009d-8264-449f-bd83-7b97402929f0.jpeg?im_w=720
