id,name,price,rating,img_link
33516283,"San Vito Lo Capo, Italy","₹11,912 per night",5.0,https://a0.muscache.com/im/pictures/7ad80cd3-a383-4e07-8e8b-4438ff759adc.jpg?im_w=720
42166477,"Castro, Italy","₹7,158 per night",4.53,https://a0.muscache.com/im/pictures/prohost-api/Hosting-42166477/original/2f35ef40-65e3-4af1-b20b-c6abcfc2486d.jpeg?im_w=720
45834552,"Galatone, Italy","₹6,113 per night",4.67,https://a0.muscache.com/im/pictures/prohost-api/Hosting-45834552/original/92c044cd-0fe0-4a68-a5d3-2fad7e3ff475.jpeg?im_w=720
567807804212066315,"Racale, Italy","₹12,194 per night",New,https://a0.muscache.com/im/pictures/prohost-api/Hosting-567807804212066315/original/58529488-2e6c-47f8-9621-bd3c9e8486f7.jpeg?im_w=720
970541,"Sternatia, Italy","₹7,405 per night",4.91,https://a0.muscache.com/im/pictures/2e630d3b-b4d6-4b88-acdb-dc999ab11746.jpg?im_w=720
15036231,"Leuca, Italy","₹77,009 per night",New,https://a0.muscache.com/im/pictures/1eca5cf9-c94b-4b7d-b41f-6a4f59d80e54.jpg?im_w=720
573716162237152334,"Galatone, Italy","₹9,924 per night",New,https://a0.muscache.com/im/pictures/prohost-api/Hosting-573716162237152334/original/575355cf-8e54-4942-bc56-b5bc581b95cb.jpeg?im_w=720
747473,"Andrano, Italy","₹5,503 per night",New,https://a0.muscache.com/im/pictures/5c8c0bce-492a-4359-8122-00335060200e.jpg?im_w=720
51182072,"Morciano di Leuca, Italy","₹22,762 per night",New,https://a0.muscache.com/im/pictures/14f2d1ba-2c82-41ba-b8e2-a3e91f97e473.jpg?im_w=720
44113334,"Alicudi, Italy","₹7,440 per night",New,https://a0.muscache.com/im/pictures/547bc7f6-767c-4d30-85d3-2ee70efad731.jpg?im_w=720
30551245,"San Foca, Italy","₹11,178 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-30551245/original/ef79301c-3530-4260-818a-6609c0cfa22a.jpeg?im_w=720
33124199,"Patù, Italy","₹19,026 per night",New,https://a0.muscache.com/im/pictures/7a4fe9d7-6ba3-4ad4-98f8-126d26a9dab9.jpg?im_w=720
43675443,"Torre Suda, Italy","₹9,060 per night",New,https://a0.muscache.com/im/pictures/34f31985-b70f-4c90-9960-1bffc65de1cb.jpg?im_w=720
13968150,"Melendugno, Italy","₹13,771 per night",4.67,https://a0.muscache.com/im/pictures/miso/Hosting-13968150/original/5361b70e-5223-488b-94c0-9ba7ea762e11.jpeg?im_w=720
3259579,"Mascali, Italy","₹7,791 per night",4.89,https://a0.muscache.com/im/pictures/1ed0235d-433a-434c-b20d-d0b72772e71a.jpg?im_w=720
35082850,"Linosa, Italy","₹8,154 per night",5.0,https://a0.muscache.com/im/pictures/5d69b989-45b6-4e6d-8b74-5938ef4c660d.jpg?im_w=720
26865406,"Gallina, Italy","₹10,531 per night",4.88,https://a0.muscache.com/im/pictures/6a84c523-267b-45e0-bb1a-4c9fb7a4f5fc.jpg?im_w=720
10370162,"Koundouros, Greece","₹14,496 per night",4.78,https://a0.muscache.com/im/pictures/fa2df199-89d3-477f-8001-a2c636665730.jpg?im_w=720
47527581,"Chiaramonte Gulfi, Italy","₹27,404 per night",New,https://a0.muscache.com/im/pictures/87999899/aca68b3c_original.jpg?im_w=720
