id,name,price,rating,img_link
8860800,"Cape Town, South Africa","₹12,160 per night",4.86,https://a0.muscache.com/im/pictures/d0ca15e5-87bc-4912-bbc0-6c564e42afc7.jpg?im_w=720
10858847,"Edinburgh, UK","₹20,489 per night",4.98,https://a0.muscache.com/im/pictures/8fa351eb-1a60-47ad-99a8-d06e1a1dbb3f.jpg?im_w=720
827062,"Paris, France","₹32,784 per night",4.88,https://a0.muscache.com/im/pictures/12015095/160e3020_original.jpg?im_w=720
54005986,"Sydney, Australia","₹29,916 per night",4.93,https://a0.muscache.com/im/pictures/miso/Hosting-54005986/original/c16c3d5f-f1ce-45a2-81ac-fd9fe66ac540.jpeg?im_w=720
39934418,"Paris, France","₹42,239 per night",4.83,https://a0.muscache.com/im/pictures/feac4021-d60e-4717-8ca6-f0c95ce16de3.jpg?im_w=720
53585119,"London, UK","₹3,08,742 per night",New,https://a0.muscache.com/im/pictures/e42ea258-64a3-4fa0-83ae-b753cd41a1a2.jpg?im_w=720
31072970,"Sydney, Australia","₹29,697 per night",4.99,https://a0.muscache.com/im/pictures/9e5c4951-9326-4f6e-ad6d-028c8fefad2e.jpg?im_w=720
23615154,"Seoul, South Korea","₹7,050 per night",4.98,https://a0.muscache.com/im/pictures/768efc2b-4283-4f35-917b-e3df4a5592ff.jpg?im_w=720
9685977,"Sydney, Australia","₹35,690 per night",4.88,https://a0.muscache.com/im/pictures/3f28a595-97b3-474d-a119-0064c01977a1.jpg?im_w=720
5337607,"Milano, Italy","₹15,221 per night",New,https://a0.muscache.com/im/pictures/b937d247-7ea9-4636-803c-c834284244dd.jpg?im_w=720
613269498805773782,"Marrakech, Morocco","₹5,055 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-613269498805773782/original/f53e9ebc-0a6d-43b2-8a02-852d9e8996b1.jpeg?im_w=720
53856003,"Cape Town, South Africa","₹70,390 per night",New,https://a0.muscache.com/im/pictures/monet/Luxury-53856003/original/a9045607-396d-4851-b283-8e6ba90bccda?im_w=720
7777642,"Bangkok, Thailand","₹3,813 per night",4.88,https://a0.muscache.com/im/pictures/2419cf9c-8841-4b6a-ab0a-d2580ec3f2bc.jpg?im_w=720
548357234359742514,"Cairo, Egypt","₹9,603 per night",5.0,https://a0.muscache.com/im/pictures/dc633586-4ab0-401a-8c2c-13752dc90aa3.jpg?im_w=720
617111481233366388,"Cape Town, South Africa","₹2,862 per night",4.86,https://a0.muscache.com/im/pictures/miso/Hosting-617111481233366388/original/0201157a-48d3-44c3-addf-0fe8bda60d92.jpeg?im_w=720
42007752,"Cape Town, South Africa","₹7,503 per night",4.85,https://a0.muscache.com/im/pictures/2b297d03-0745-4598-9c0e-b26cddb86458.jpg?im_w=720
26188730,"Paris, France","₹16,685 per night",4.94,https://a0.muscache.com/im/pictures/b7401821-799f-494c-9f10-4b268f63e1c1.jpg?im_w=720
27242744,"Istanbul, Turkey","₹37,920 per night",4.92,https://a0.muscache.com/im/pictures/monet/Select-27242744/original/25e61486-efc9-4b76-8f08-a13b5a93a476?im_w=720
47016639,"Cape Town, South Africa","₹18,862 per night",4.87,https://a0.muscache.com/im/pictures/89c288db-5f1d-46a2-8de4-5d780f569d97.jpg?im_w=720
42133175,"Seoul, South Korea","₹11,673 per night",4.82,https://a0.muscache.com/im/pictures/936a6801-7d1e-45b5-b653-1b3cbcb29b72.jpg?im_w=720
52430967,"Cape Town, South Africa","₹5,673 per night",4.98,https://a0.muscache.com/im/pictures/6cf5448e-cc32-437d-83eb-194dc5a6f9a4.jpg?im_w=720
2749954,"Paris, France","₹59,754 per night",4.82,https://a0.muscache.com/im/pictures/42189a52-afe0-463b-9713-ca15dd6f751f.jpg?im_w=720
2662643,"Florence, Italy","₹8,244 per night",4.9,https://a0.muscache.com/im/pictures/51430034/44e710d3_original.jpg?im_w=720
42211690,"Paris, France","₹30,481 per night",4.91,https://a0.muscache.com/im/pictures/b336990d-0b3c-45aa-abb3-fe080553f569.jpg?im_w=720
35838490,"Athina, Greece","₹21,583 per night",4.97,https://a0.muscache.com/im/pictures/4927692d-e8a1-4031-a000-f99894e00d75.jpg?im_w=720
40090921,"Sydney, Australia","₹15,744 per night",4.81,https://a0.muscache.com/im/pictures/3722c14f-15a0-44d9-9c88-fa2f9834f3c8.jpg?im_w=720
52045664,"Ubud, Indonesia","₹36,104 per night",5.0,https://a0.muscache.com/im/pictures/f2a4b811-df80-486f-8259-42d4e902a1f3.jpg?im_w=720
13311426,"Cape Town, South Africa","₹7,039 per night",4.91,https://a0.muscache.com/im/pictures/864556c4-06c6-4b97-87d9-84f6b1314d13.jpg?im_w=720
53825034,"Madrid, Spain","₹11,875 per night",4.91,https://a0.muscache.com/im/pictures/bac33416-c4dd-4da6-be0f-39fe4ea4ce13.jpg?im_w=720
578716806886078207,"Mumbai, India","₹2,957 per night",5.0,https://a0.muscache.com/im/pictures/5e622354-f982-4c99-a443-65da2eac249d.jpg?im_w=720
607681174207418428,"Seoul, South Korea","₹8,610 per night",4.93,https://a0.muscache.com/im/pictures/miso/Hosting-607681174207418428/original/a8aac2cd-09ff-40bd-ae61-59f3444d71ad.jpeg?im_w=720
673697894781364231,"Paris, France","₹7,668 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-673697894781364231/original/96942b84-3cd4-48ed-b218-8936ea6558af.jpeg?im_w=720
54039869,"Seoul, South Korea","₹15,317 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-54039869/original/5328829d-fd55-4702-a558-99d513440b21.jpeg?im_w=720
34741098,"Paris, France","₹12,728 per night",4.84,https://a0.muscache.com/im/pictures/62d3e013-6923-411b-a205-4e793b5d2a96.jpg?im_w=720
9753169,"Vienna, Austria","₹8,581 per night",4.86,https://a0.muscache.com/im/pictures/0b737cbc-e121-40e5-843d-4227de9dc533.jpg?im_w=720
47501603,"Mumbai, India","₹4,580 per night",4.88,https://a0.muscache.com/im/pictures/3c98e9fe-108a-4687-904a-c8aeae37888d.jpg?im_w=720
18191525,"Bangkok, Thailand","₹6,599 per night",4.97,https://a0.muscache.com/im/pictures/a4ffcb97-e84c-4e6e-bf73-14e09e2dc6d6.jpg?im_w=720
39620502,"Cape Town, South Africa","₹4,230 per night",4.89,https://a0.muscache.com/im/pictures/miso/Hosting-39620502/original/6ba8dad8-dd6c-4222-9a2f-b699aeb4346e.jpeg?im_w=720
11112236,"Cape Town, South Africa","₹21,347 per night",4.95,https://a0.muscache.com/im/pictures/bf9ef208-c005-467c-9937-2168dac4cfb9.jpg?im_w=720
54238724,"Seoul, South Korea","₹7,669 per night",5.0,https://a0.muscache.com/im/pictures/53708bb2-6677-4ea6-ab1b-9dd212e06e90.jpg?im_w=720
23961453,"Athina, Greece","₹4,532 per night",4.91,https://a0.muscache.com/im/pictures/65a5bcf5-6967-4192-9f44-82d179b914f5.jpg?im_w=720
898574,"Istanbul, Turkey","₹3,216 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-898574/original/dda24ed1-d095-4c0b-813b-d45769f6d8e3.jpeg?im_w=720
50124878,"Cape Town, South Africa","₹11,302 per night",4.98,https://a0.muscache.com/im/pictures/miso/Hosting-50124878/original/9929c024-7b71-48bf-a971-31509acb9632.jpeg?im_w=720
38316540,"Dubai, UAE","₹8,215 per night",4.88,https://a0.muscache.com/im/pictures/22752b48-d81e-4401-8d96-2b5037903289.jpg?im_w=720
30146528,"Athina, Greece","₹5,954 per night",4.88,https://a0.muscache.com/im/pictures/0b763577-7e03-4f3d-9c4c-7187a51adeb3.jpg?im_w=720
