id,name,price,rating,img_link
44776685,"Kanazawa, Japan","₹22,476 per night",New,https://a0.muscache.com/im/pictures/28cff735-f1ce-4b81-9f8f-c447f23a8da9.jpg?im_w=720
29043795,"Ichinoseki-shi, Japan","₹2,993 per night",4.88,https://a0.muscache.com/im/pictures/1b25a065-915d-44a9-ac8f-a0cf4148a3cd.jpg?im_w=720
32792828,"由布市湯布院町川上字久保, Japan","₹18,885 per night",4.84,https://a0.muscache.com/im/pictures/miso/Hosting-32792828/original/8b971f6c-c322-4825-8e51-475be52f0c10.jpeg?im_w=720
43271439,"Nakagyō-ku, Kyoto, Japan","₹34,553 per night",New,https://a0.muscache.com/im/pictures/ac412f5d-a418-44b1-a8db-e1e473c2b515.jpg?im_w=720
26016806,"荒川区東日暮里, Japan","₹21,380 per night",4.98,https://a0.muscache.com/im/pictures/fa775bfe-48e2-4975-a3e6-3a767507ce55.jpg?im_w=720
28627521,"Shimogyō-ku, Kyōto-shi, Japan","₹10,175 per night",4.78,https://a0.muscache.com/im/pictures/c5c79ce5-722c-437d-aa42-a813afd38c24.jpg?im_w=720
22269847,"Minato-ku, Ōsaka-shi, Japan","₹28,852 per night",4.75,https://a0.muscache.com/im/pictures/e51eca33-4d53-410d-94c2-846362669f8b.jpg?im_w=720
50962937,"Tatsuno, Kamiina District, Japan","₹8,160 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-50962937/original/09e46cb1-e253-4ab2-a199-a52caedd516f.png?im_w=720
31631320,"Aomori-shi, Japan","₹5,236 per night",New,https://a0.muscache.com/im/pictures/2c425c38-aa8c-4c6e-98a5-1a812e9fe19d.jpg?im_w=720
14503677,"高山市天満町5丁目, Japan","₹10,406 per night",4.92,https://a0.muscache.com/im/pictures/ada5e684-3b83-484c-8835-c6c93311d878.jpg?im_w=720
12356675,"京都市, Japan","₹20,724 per night",4.87,https://a0.muscache.com/im/pictures/a0025ee6-ad31-4111-83d7-3c2a571fa0d6.jpg?im_w=720
39117472,"Shimada, Japan","₹5,021 per night",4.91,https://a0.muscache.com/im/pictures/miso/Hosting-39117472/original/d808f9b8-5a8f-42a8-be96-29d8c9536cc2.jpeg?im_w=720
5052408,"Komoro, Japan","₹4,384 per night",4.75,https://a0.muscache.com/im/pictures/97dcc216-c24e-4920-858e-be284c83431e.jpg?im_w=720
533795,"Kyoto, Japan","₹9,027 per night",4.9,https://a0.muscache.com/im/pictures/27488332/f88eaa05_original.jpg?im_w=720
43914218,"Minami, Japan","₹17,426 per night",4.74,https://a0.muscache.com/im/pictures/1f8b509f-a452-41ef-bf61-bd0b54045992.jpg?im_w=720
21375767,"Yaita, Japan","₹4,587 per night",4.78,https://a0.muscache.com/im/pictures/23c1d01f-1555-4bf7-ac5f-153891405f1a.jpg?im_w=720
8154017,"朝来市生野町黒川 p15ー1, Japan","₹2,328 per night",4.71,https://a0.muscache.com/im/pictures/105840786/f8978a8f_original.jpg?im_w=720
44169867,"Nagano, Japan","₹10,542 per night",4.75,https://a0.muscache.com/im/pictures/9dce7ee6-fd4e-417f-b85a-386f868379d8.jpg?im_w=720
9717541,"Mitoyo-shi, Japan","₹3,892 per night",4.9,https://a0.muscache.com/im/pictures/9fcfbfbb-4ed2-4d60-8fb3-124eea346d2a.jpg?im_w=720
26503788,"Isumi, Japan","₹20,109 per night",4.87,https://a0.muscache.com/im/pictures/ca6b8fc9-92ff-4f84-92ce-37c66c3ebdda.jpg?im_w=720
37270028,"Nagasaki, Japan","₹17,026 per night",4.76,https://a0.muscache.com/im/pictures/b40de900-b493-44bb-933d-3558fb0c8be9.jpg?im_w=720
53227318,"Mizukami, Kuma District, Japan","₹3,658 per night",4.94,https://a0.muscache.com/im/pictures/miso/Hosting-53227318/original/200fb06a-06e6-4a76-9bb6-3b4bca0fb0b0.png?im_w=720
40435570,"Aso, Japan","₹7,050 per night",4.88,https://a0.muscache.com/im/pictures/34a9cea5-f00b-40dd-85b5-890dd8969c3c.jpg?im_w=720
39727201,"Nishinari-ku, Osaka, Japan","₹6,295 per night",4.84,https://a0.muscache.com/im/pictures/7e38524a-8b04-4082-8ffc-333bde20c3ed.jpg?im_w=720
13356096,"Ogano-machi, Japan","₹9,643 per night",4.78,https://a0.muscache.com/im/pictures/f9407c14-026c-496c-ba82-be8eac34980e.jpg?im_w=720
22454177,"京都市, Japan","₹4,616 per night",4.84,https://a0.muscache.com/im/pictures/f2bd36f9-8611-40e3-bf5a-be0ec5b75ffa.jpg?im_w=720
12858680,"Takasaki, Japan","₹7,243 per night",4.93,https://a0.muscache.com/im/pictures/4870cf69-a2e3-43a6-9128-efc45b97232f.jpg?im_w=720
17217273,"京都市, Japan","₹3,497 per night",4.84,https://a0.muscache.com/im/pictures/70f98aca-cc25-4a01-99f5-5dcb22ca968c.jpg?im_w=720
7466758,"Yamanouchi-machi, Japan","₹4,124 per night",4.88,https://a0.muscache.com/im/pictures/94714109/66313f84_original.jpg?im_w=720
21743497,"Chūō-ku, Ōsaka-shi, Japan","₹20,197 per night",4.67,https://a0.muscache.com/im/pictures/cf7e6e55-0c8b-488a-bd67-23910bb7cc9e.jpg?im_w=720
16245255,"Kagamino-chō, Tomata-gun, Japan","₹4,663 per night",4.89,https://a0.muscache.com/im/pictures/83a05298-9258-4883-8d44-6bb1b12966e4.jpg?im_w=720
48757997,"Nishinari Ward, Osaka, Japan","₹3,121 per night",4.92,https://a0.muscache.com/im/pictures/f71e0bbe-d77d-4610-9bfa-03484febabb3.jpg?im_w=720
10667517,"Odai, Japan","₹6,784 per night",4.86,https://a0.muscache.com/im/pictures/f2982c0e-af0d-45e1-af27-ba35a9a93c71.jpg?im_w=720
8429385,"Kyoto, Japan","₹3,527 per night",4.79,https://a0.muscache.com/im/pictures/2b54b9a1-a645-4ea2-a26b-5a3c2d340f9b.jpg?im_w=720
7017452,"Ōsaka-shi, Japan","₹6,923 per night",4.9,https://a0.muscache.com/im/pictures/489ae030-956c-402d-999f-fdbe662ae8c9.jpg?im_w=720
6157972,"大和郡山市, Japan","₹2,020 per night",4.91,https://a0.muscache.com/im/pictures/255c27d9-baf4-4f19-a60f-37b3f146840a.jpg?im_w=720
17857009,"Sakyo-ku, Kyoto, Japan","₹16,787 per night",4.92,https://a0.muscache.com/im/pictures/5eaa729a-094a-489f-97ac-3700f1ab74b9.jpg?im_w=720
24209497,"Shibata, Shibata District, Japan","₹5,321 per night",4.94,https://a0.muscache.com/im/pictures/3f742253-6006-44e3-985e-bd27cdaa5e43.jpg?im_w=720
15975599,"中野市, Japan","₹3,683 per night",4.79,https://a0.muscache.com/im/pictures/01d36810-b4ce-49ea-a557-bb4c91d0c480.jpg?im_w=720
16415737,"Ueda, Japan","₹3,683 per night",4.96,https://a0.muscache.com/im/pictures/408818f2-80d9-4ff6-8b33-c846265cabab.jpg?im_w=720
5798882,"熊本市, Japan","₹9,227 per night",4.77,https://a0.muscache.com/im/pictures/miso/Hosting-5798882/original/f681f54d-223c-48e3-9584-f207772506cc.jpeg?im_w=720
41283409,"Tamba-Sasayama, Japan","₹6,243 per night",4.96,https://a0.muscache.com/im/pictures/96c93c99-7b78-4633-abe9-d12b2c14898e.jpg?im_w=720
43098005,"Shimogyō-ku, Kyoto, Japan","₹6,295 per night",4.88,https://a0.muscache.com/im/pictures/a3a538e3-a10c-4240-aeca-1a017eba95da.jpg?im_w=720
17258297,"高松市, Japan","₹13,639 per night",4.96,https://a0.muscache.com/im/pictures/d69009eb-2fe8-4c91-9a6d-8836b1d50ffd.jpg?im_w=720
38163094,"Sagamihara, Japan","₹31,928 per night",4.79,https://a0.muscache.com/im/pictures/90e50562-3aaf-461a-b74e-a7fa7b7ce6f2.jpg?im_w=720
3556766,"Kyoto-shi, Japan","₹3,262 per night",4.73,https://a0.muscache.com/im/pictures/111301348/2fd3b905_original.jpg?im_w=720
50623730,"Kawazu, Kamo District, Japan","₹16,787 per night",4.9,https://a0.muscache.com/im/pictures/01413d5c-47c5-4462-b2af-c47700031888.jpg?im_w=720
1019530,"津山市加茂町, Japan","₹10,676 per night",4.97,https://a0.muscache.com/im/pictures/25363102/fc515ff4_original.jpg?im_w=720
12282856,"高山市神明町, Japan","₹20,401 per night",4.96,https://a0.muscache.com/im/pictures/74b6a395-d215-4f32-b5cd-1e8e3a93efdd.jpg?im_w=720
34043282,"Takayama, Japan","₹7,286 per night",4.8,https://a0.muscache.com/im/pictures/9e15103a-45e0-4263-ad4c-48d91f3d67ca.jpg?im_w=720
46745141,"Awaji, Japan","₹9,967 per night",4.71,https://a0.muscache.com/im/pictures/miso/Hosting-46745141/original/c75b6497-c560-456b-877e-ce1e27fc283b.jpeg?im_w=720
7316187,"西牟婁郡, Japan","₹2,307 per night",4.93,https://a0.muscache.com/im/pictures/90e84bc9-ff1f-4f97-8b7d-9aca052435d3.jpg?im_w=720
21318410,"Itoshima-shi, Japan","₹5,807 per night",4.95,https://a0.muscache.com/im/pictures/miso/Hosting-21318410/original/ac7e608b-c7d5-4588-ad03-544d5e4b2a63.jpeg?im_w=720
42391247,"Kiryu, Japan","₹12,603 per night",5.0,https://a0.muscache.com/im/pictures/a5b6f131-9a7b-48d6-beb0-adb336b24478.jpg?im_w=720
8591935,"Kyoto-shi, Japan","₹4,989 per night",4.95,https://a0.muscache.com/im/pictures/d165b38d-2ad6-42bd-b8d9-9321287f9a71.jpg?im_w=720
22424990,"京都市, Japan","₹4,721 per night",4.75,https://a0.muscache.com/im/pictures/2378f9a6-275f-4ae3-9b4c-b8f76bb53fa3.jpg?im_w=720
25900447,"Takayama-shi, Japan","₹26,230 per night",4.93,https://a0.muscache.com/im/pictures/abc48799-5ee0-4174-a083-81db21034901.jpg?im_w=720
36614625,"Takayama-shi, Japan","₹23,338 per night",4.7,https://a0.muscache.com/im/pictures/01a67cb0-9627-457a-a400-0e3b1a1df56c.jpg?im_w=720
44253390,"Izumo, Japan","₹10,086 per night",4.58,https://a0.muscache.com/im/pictures/miso/Hosting-44253390/original/0d8410a9-258c-433a-b31c-53c655c8d13f.jpeg?im_w=720
12281160,"Sumiyoshi-ku, Ōsaka-shi, Japan","₹8,895 per night",4.86,https://a0.muscache.com/im/pictures/e22a52e4-6511-4d8c-84df-f1618ed4ceaf.jpg?im_w=720
2756359,"Kyoto, Japan","₹2,262 per night",4.65,https://a0.muscache.com/im/pictures/a02a6fc6-fec8-484b-aa0d-040f50472303.jpg?im_w=720
25151601,"Atami-shi, Japan","₹13,383 per night",4.8,https://a0.muscache.com/im/pictures/c7228db3-4452-46bb-b7bb-2b608f9406e7.jpg?im_w=720
16262818,"京都市上京区, Japan","₹3,326 per night",4.94,https://a0.muscache.com/im/pictures/4edb7150-3843-4de3-afcc-dda7ce6f3523.jpg?im_w=720
