id,name,price,rating,img_link
26117817,"Jibhi, India","₹6,846 per night",4.9,https://a0.muscache.com/im/pictures/miso/Hosting-26117817/original/9da40e3c-5846-4359-bb41-05c27b09a8f5.jpeg?im_w=720
39049869,"Kottathara, India","₹5,819 per night",4.97,https://a0.muscache.com/im/pictures/c59d4481-f48a-43db-ade2-1df5689b725f.jpg?im_w=720
39375812,"Unawatuna, Sri Lanka","₹6,360 per night",4.77,https://a0.muscache.com/im/pictures/c902a7bf-c420-4e92-adf2-c191802e352d.jpg?im_w=720
25174078,"ขอนแก่น, Thailand","₹3,053 per night",New,https://a0.muscache.com/im/pictures/8b6ec929-288c-47b3-93c6-cf92d5694efd.jpg?im_w=720
51186231,"Idukki, India","₹4,429 per night",New,https://a0.muscache.com/im/pictures/7be27856-9ea9-424b-81ae-7672e37a5229.jpg?im_w=720
35890490,"Phong Thổ District, Vietnam","₹4,206 per night",New,https://a0.muscache.com/im/pictures/8fb5846e-bb22-43d0-97f7-8a53aa86880f.jpg?im_w=720
29229640,"รอบเวียง, Thailand","₹12,593 per night",4.97,https://a0.muscache.com/im/pictures/ec7a55ab-31d6-483b-9386-ad6a213d94db.jpg?im_w=720
29375910,"Palshet, India","₹8,559 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-29375910/original/ec1c796c-1c31-4249-afc3-963cbde91268.jpeg?im_w=720
25120828,"Tissamaharama, Sri Lanka","₹34,658 per night",New,https://a0.muscache.com/im/pictures/ff8035de-1053-44fd-ad94-4b529120c4e4.jpg?im_w=720
51648948,"Dehradun, India","₹7,920 per night",4.98,https://a0.muscache.com/im/pictures/miso/Hosting-51648948/original/40768f70-ce16-4f68-97d2-6b769ba36962.jpeg?im_w=720
592534982498584276,"Kamshet, India","₹3,994 per night",4.63,https://a0.muscache.com/im/pictures/miso/Hosting-592534982498584276/original/9cd70359-aaa9-441d-8157-f79a4f3965af.jpeg?im_w=720
51733936,"Mananthavady, India","₹5,135 per night",4.93,https://a0.muscache.com/im/pictures/ee697f6f-0faf-451c-8c78-8f9926fb7dae.jpg?im_w=720
54102967,"Thadakalu, India","₹4,574 per night",4.87,https://a0.muscache.com/im/pictures/0a2e0054-d08e-432a-b29e-b9e633a335e1.jpg?im_w=720
54283692,"Tambon Bo Put, Thailand","₹2,283 per night",4.86,https://a0.muscache.com/im/pictures/miso/Hosting-54283692/original/6e6a4f53-39b0-4cc2-8495-d46f02a16b8a.jpeg?im_w=720
51922404,"Revora, India","₹1,316 per night",4.88,https://a0.muscache.com/im/pictures/miso/Hosting-46609031/original/1854dd9b-4eaf-4945-b6e3-04458fe16eb2.jpeg?im_w=720
53751079,"Koyileri, India","₹4,108 per night",4.89,https://a0.muscache.com/im/pictures/e47ae9a6-e3fb-482b-9bce-9238cdec8f2f.jpg?im_w=720
4479021,"Wiang Tai, Thailand","₹1,159 per night",4.86,https://a0.muscache.com/im/pictures/82c0a664-af65-401c-a61b-e0eafdf84158.jpg?im_w=720
29147245,"Chickmagaluru, India","₹5,705 per night",4.74,https://a0.muscache.com/im/pictures/bcebba01-c99e-4d02-b652-ccfbcb249840.jpg?im_w=720
4070238,"Habarana, Sri Lanka","₹1,824 per night",4.85,https://a0.muscache.com/im/pictures/109084895/5e444438_original.jpg?im_w=720
52096743,"Malagalakki, India","₹6,859 per night",4.85,https://a0.muscache.com/im/pictures/7c01ccb3-6584-480b-a2f1-a13e46bd652b.jpg?im_w=720
12857093,"Ao Nang, Thailand","₹1,920 per night",4.79,https://a0.muscache.com/im/pictures/28474201-6ab7-41f9-a031-cd8db3ca1ac5.jpg?im_w=720
26066074,"Tambon Ko Pha-ngan, Thailand","₹11,824 per night",4.97,https://a0.muscache.com/im/pictures/bf039192-cc54-43bf-bab3-cb7b6367207f.jpg?im_w=720
9538358,"Wiang Nuea, Thailand","₹1,915 per night",4.75,https://a0.muscache.com/im/pictures/dad0c3f2-4573-4674-b042-f39501800b20.jpg?im_w=720
29472381,"Munnar, India","₹4,564 per night",4.56,https://a0.muscache.com/im/pictures/b27987a6-75f1-4503-b91f-cf102db74ee8.jpg?im_w=720
54299805,"Guwahati, India","₹3,081 per night",4.78,https://a0.muscache.com/im/pictures/cff1c2cb-9f79-44fd-b9f4-6d6d54e808e6.jpg?im_w=720
24403930,"Mussoorie, India","₹6,402 per night",4.72,https://a0.muscache.com/im/pictures/102ac3d5-31e2-4435-a935-c31472768571.jpg?im_w=720
32884476,"Pillaichavady, India","₹2,870 per night",4.71,https://a0.muscache.com/im/pictures/2896b4eb-4156-440f-a91e-f69b60830a1a.jpg?im_w=720
15187485,"Majorda , India","₹3,994 per night",4.76,https://a0.muscache.com/im/pictures/fef432a8-91ef-4556-a4b5-bf0a9c7dab13.jpg?im_w=720
15932064,"Hikkaduwa, Sri Lanka","₹2,759 per night",4.78,https://a0.muscache.com/im/pictures/5a90689e-15aa-40b4-bcd8-11ba7cd2bba9.jpg?im_w=720
16948645,"TH, Thailand","₹2,034 per night",4.9,https://a0.muscache.com/im/pictures/234c0861-123c-4a52-aab6-7072908c512e.jpg?im_w=720
35894025,"Phong Thổ District, Vietnam","₹4,674 per night",New,https://a0.muscache.com/im/pictures/3965d2da-a7c1-4706-9cf2-1b91a5f3c353.jpg?im_w=720
52816260,"Baindur, India","₹6,587 per night",5.0,https://a0.muscache.com/im/pictures/miso/Hosting-52816260/original/6e48688d-2cbb-4ed0-a83a-e1deb1c02288.jpeg?im_w=720
1012523,"Langkawi, Malaysia","₹7,513 per night",4.79,https://a0.muscache.com/im/pictures/miso/Hosting-1012523/original/925e75dc-8558-4178-9faa-5c210bbac176.jpeg?im_w=720
13966782,"Assagao, India","₹3,880 per night",4.7,https://a0.muscache.com/im/pictures/bd469f27-320d-47cb-b11d-45910d0126f8.jpg?im_w=720
29717885,"Bommayapalayam  Near Auroville , India","₹1,712 per night",4.8,https://a0.muscache.com/im/pictures/773dc185-1d69-4f19-85cb-3cceec099e94.jpg?im_w=720
