id,name,price,rating,img_link
29172819,"Minh Phú, Vietnam","₹9,794 per night",4.62,https://a0.muscache.com/im/pictures/miso/Hosting-29172819/original/8dae018e-ee08-4956-ab90-4a451e96e424.jpeg?im_w=720
50080886,"Fagu, India","₹5,135 per night",4.66,https://a0.muscache.com/im/pictures/23191485-b4aa-41ad-9011-516cb50215d6.jpg?im_w=720
48837541,"Munnar, India","₹14,180 per night",4.93,https://a0.muscache.com/im/pictures/miso/Hosting-48837541/original/67b1be92-42e3-47d7-bfc8-cbfeb59428da.jpeg?im_w=720
50296444,"New Delhi, India","₹32,809 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-50296444/original/0bde4ac2-cc6d-4767-b38f-0366c651a317.jpeg?im_w=720
42427185,"Jibhi, India","₹3,993 per night",4.85,https://a0.muscache.com/im/pictures/1c360e12-97fe-4bc0-8180-330e270e0483.jpg?im_w=720
44233539,"Tambon Mu Si, Thailand","₹11,250 per night",New,https://a0.muscache.com/im/pictures/aab9bec6-8626-47a0-8718-7d8cc131da48.jpg?im_w=720
12163230,"Sigiriya, Sri Lanka","₹7,107 per night",4.81,https://a0.muscache.com/im/pictures/c42fb31e-48b2-432c-99ba-b90b22ef74ff.jpg?im_w=720
2771960,"Chiang Mai, Thailand","₹12,479 per night",4.69,https://a0.muscache.com/im/pictures/37367966/00452d32_original.jpg?im_w=720
27615618,"Kerala, India","₹16,456 per night",New,https://a0.muscache.com/im/pictures/3116cebb-dc5e-4429-997e-f47c2656cc91.jpg?im_w=720
23671739,"Kalpetta, India","₹10,271 per night",New,https://a0.muscache.com/im/pictures/27d319a8-1c48-4629-9e1b-801827656caa.jpg?im_w=720
27621348,"Kerala, India","₹17,631 per night",New,https://a0.muscache.com/im/pictures/2d29f0c6-d45b-4ec9-8958-2f0f96580780.jpg?im_w=720
9675575,"Tissamaharama, Sri Lanka","₹8,193 per night",New,https://a0.muscache.com/im/pictures/721e09bf-9c78-468b-b4a2-3707830879e2.jpg?im_w=720
26117817,"Jibhi, India","₹6,846 per night",4.9,https://a0.muscache.com/im/pictures/miso/Hosting-26117817/original/9da40e3c-5846-4359-bb41-05c27b09a8f5.jpeg?im_w=720
38785424,"Ko Pha Ngan, Thailand","₹12,655 per night",4.91,https://a0.muscache.com/im/pictures/d8964b56-c0cd-49f7-b722-849fe41e21e4.jpg?im_w=720
788235,"Mueang Chiang Mai, Thailand","₹2,560 per night",4.67,https://a0.muscache.com/im/pictures/23382828/bee5835d_original.jpg?im_w=720
47128975,"Yelagiri, India","₹4,451 per night",4.73,https://a0.muscache.com/im/pictures/eb11a270-4c43-4271-b4d5-470736d053d2.jpg?im_w=720
599968756101510300,"Jibhi, India","₹3,422 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-599968756101510300/original/db1e82d8-7524-4f04-a98f-24520ef92853.jpeg?im_w=720
446227,"Mae Taeng, Thailand","₹5,313 per night",4.88,https://a0.muscache.com/im/pictures/5813338/7c1c4f7c_original.jpg?im_w=720
43106146,"Preah Sihanouk, Cambodia",₹910 per night,New,https://a0.muscache.com/im/pictures/75571203/cd148a34_original.jpg?im_w=720
32473224,"Khet Watthana, Thailand","₹2,156 per night",4.77,https://a0.muscache.com/im/pictures/20d20719-e323-4e66-be04-e4d1415b53a5.jpg?im_w=720
51913579,"Kallarkutty, India","₹3,423 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-51527430/original/4852beff-b03f-4837-a2ba-ccf161e22e65.jpeg?im_w=720
28675187,"Mae Chan, Thailand","₹1,339 per night",4.88,https://a0.muscache.com/im/pictures/d5b1f1cd-4670-4ba5-9123-97e103288c94.jpg?im_w=720
31912523,"Ella, Sri Lanka","₹4,530 per night",4.64,https://a0.muscache.com/im/pictures/9266fb6e-d390-4070-ae47-8e1e63134a49.jpg?im_w=720
904634,"Tambon Sriphum, A. Muang Chiang Mai , Thailand","₹8,824 per night",4.85,https://a0.muscache.com/im/pictures/f0b56b48-e01f-4f0f-9047-544c498a2e31.jpg?im_w=720
