id,name,price,rating,img_link
36295336,"Hatgal, Mongolia","₹2,736 per night",4.67,https://a0.muscache.com/im/pictures/0c7f8d66-2f41-431c-bf53-bef1ee168238.jpg?im_w=720
34881697,"Rovaniemi, Finland","₹25,440 per night",4.75,https://a0.muscache.com/im/pictures/249503c7-86f9-4da2-9468-4b4c196b6517.jpg?im_w=720
34346281,"Rovaniemi, Finland","₹25,440 per night",5.0,https://a0.muscache.com/im/pictures/59599630-a8ce-4082-aa31-de0984288d48.jpg?im_w=720
26583330,"Kharkhorin, Mongolia","₹5,472 per night",5.0,https://a0.muscache.com/im/pictures/0d18e619-8937-4d74-86e8-e5c3400d4ac0.jpg?im_w=720
23606327,"Kanimekh, Uzbekistan","₹2,736 per night",New,https://a0.muscache.com/im/pictures/3bd2e5ac-6a78-4e1b-a310-3b48885d192d.jpg?im_w=720
29766895,"Terelj, Mongolia","₹4,560 per night",New,https://a0.muscache.com/im/pictures/32f64d9f-f848-4c98-83d9-0b7046221794.jpg?im_w=720
31999942,"Simou, Cyprus","₹9,994 per night",5.0,https://a0.muscache.com/im/pictures/87a39e80-bdcb-48d6-9709-b52c36696672.jpg?im_w=720
34881232,"Rovaniemi, Finland","₹25,440 per night",New,https://a0.muscache.com/im/pictures/770a74e4-d606-42e9-a124-327b4f30fa51.jpg?im_w=720
19093931,"Ulaanbaatar, Mongolia","₹4,298 per night",New,https://a0.muscache.com/im/pictures/e62a1492-0bc5-4ae4-82d5-312db9036966.jpg?im_w=720
34691029,"Ulaanbaatar, Mongolia","₹9,121 per night",New,https://a0.muscache.com/im/pictures/592b58f6-017f-4999-8ebf-a82f59e69fbb.jpg?im_w=720
26139862,"Zuunmod, Mongolia","₹6,840 per night",New,https://a0.muscache.com/im/pictures/45168e80-1f73-4faa-ae87-eb9e1e455578.jpg?im_w=720
11853566,"Ulaanbaatar, Mongolia","₹1,368 per night",New,https://a0.muscache.com/im/pictures/b1d90cf0-d887-42b8-8fdc-26d86904056c.jpg?im_w=720
3203468,"Ulaanbaatar, Mongolia","₹4,469 per night",4.78,https://a0.muscache.com/im/pictures/0fbb1214-96a1-45fd-a717-e63875605e6b.jpg?im_w=720
42059381,"Klil, Israel","₹8,351 per night",4.61,https://a0.muscache.com/im/pictures/aa0fe3b9-f5df-4a45-8134-74e94641420f.jpg?im_w=720
27056098,"Gita, Israel","₹21,527 per night",4.99,https://a0.muscache.com/im/pictures/4c46d63b-d0be-4d06-819b-2151d8536c87.jpg?im_w=720
8778427,"Tong, Kyrgyzstan","₹1,363 per night",4.82,https://a0.muscache.com/im/pictures/111605368/4ba66084_original.jpg?im_w=720
42037314,"Kemer, Turkey","₹7,268 per night",4.82,https://a0.muscache.com/im/pictures/ee8918d3-69ed-46f1-b911-8ecf027daf62.jpg?im_w=720
14363243,"Ulaanbaatar, Mongolia","₹1,368 per night",4.81,https://a0.muscache.com/im/pictures/39bbf6ae-efdf-4d56-9633-1ad38b6fe2a5.jpg?im_w=720
24576092,"Issyk-Kul Region, Kyrgyzstan","₹1,368 per night",4.79,https://a0.muscache.com/im/pictures/b742bc16-529a-468a-86d2-15f206b753ff.jpg?im_w=720
26411001,"Ulaanbaatar, Mongolia","₹1,368 per night",4.71,https://a0.muscache.com/im/pictures/17dd201d-cac7-4d99-b9ae-0dafacd7af0d.jpg?im_w=720
15862136,"Khushuut, Mongolia","₹2,797 per night",New,https://a0.muscache.com/im/pictures/aaf54d62-d731-47db-bd26-74126901d87a.jpg?im_w=720
3202274,"Ulaanbaatar, Mongolia","₹4,469 per night",4.74,https://a0.muscache.com/im/pictures/5f8d8644-9c54-41e5-aef4-b13362517f2c.jpg?im_w=720
49536207,"Natur, Israel","₹21,567 per night",5.0,https://a0.muscache.com/im/pictures/d97959e3-6fd1-46bc-a233-b9a917b2889f.jpg?im_w=720
51767074,"Chorazim, Israel","₹43,454 per night",4.75,https://a0.muscache.com/im/pictures/miso/Hosting-51767074/original/1a927d77-ae9c-4028-91a6-16770b09bcc9.jpeg?im_w=720
28299287,"Gita, Israel","₹43,057 per night",4.8,https://a0.muscache.com/im/pictures/2a1be03f-a56a-4d4a-87f4-b31d7b96dd5a.jpg?im_w=720
39955084,"Barskoon, Kyrgyzstan","₹1,824 per night",5.0,https://a0.muscache.com/im/pictures/b4c81eba-0a87-4326-8db4-a8845fe67434.jpg?im_w=720
37222915,"Naryn Region, Kyrgyzstan","₹3,192 per night",New,https://a0.muscache.com/im/pictures/574f1688-a0b0-46d0-95cf-5cea9eab20b3.jpg?im_w=720
593845281176564227,"Clil, Israel","₹19,626 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-593845281176564227/original/b4fd4a40-8fd7-4aa3-9a27-056bcc5d0c57.jpeg?im_w=720
51029363,"Argalant, Mongolia","₹8,585 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-51029363/original/4561797b-bb41-430d-9d03-28ef8dadd235.jpeg?im_w=720
34673163,"Kharkhorin, Mongolia","₹6,840 per night",New,https://a0.muscache.com/im/pictures/ad4c1a79-7e5d-4b60-a51a-5784678c2bcf.jpg?im_w=720
46623246,"Turgen, Kazakhstan","₹9,121 per night",5.0,https://a0.muscache.com/im/pictures/2a37f099-31b7-4824-b0a4-d9aabb660d0e.jpg?im_w=720
40353548,"Ulaanbaatar, Mongolia","₹8,938 per night",New,https://a0.muscache.com/im/pictures/eb28428c-d696-4031-a73d-8d947010af8e.jpg?im_w=720
30217005,"Besqaynar, Kazakhstan","₹16,143 per night",New,https://a0.muscache.com/im/pictures/73f9b9b3-9d9a-4664-9e57-983aa926ab49.jpg?im_w=720
31999761,"Simou, Cyprus","₹11,448 per night",New,https://a0.muscache.com/im/pictures/87a39e80-bdcb-48d6-9709-b52c36696672.jpg?im_w=720
48613802,"Ulaanbaatar, Mongolia","₹1,149 per night",New,https://a0.muscache.com/im/pictures/931fafe8-a74a-43a0-b72d-eaac64ad9d10.jpg?im_w=720
28557385,"Tosor, Kyrgyzstan","₹1,824 per night",5.0,https://a0.muscache.com/im/pictures/2d7bafda-f6d8-45af-9050-689f339b220e.jpg?im_w=720
50109759,"Ulaanbaatar, Mongolia","₹1,73,290 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-50109759/original/b364ad96-c400-45f0-9413-707d4e576181.jpeg?im_w=720
14245225,"Seydikemer, Turkey","₹3,660 per night",New,https://a0.muscache.com/im/pictures/b5150c50-677d-4fab-81f0-b6ad6523d9cd.jpg?im_w=720
2095070,"Talgar, Kazakhstan","₹5,294 per night",New,https://a0.muscache.com/im/pictures/29d4a60c-b9b3-46c2-b480-f3e6347d653e.jpg?im_w=720
22708428,"Khorgo, Mongolia","₹2,736 per night",New,https://a0.muscache.com/im/pictures/dee9b1a2-db5e-4ef3-9bb1-fe7e9a0cd627.jpg?im_w=720
26708622,"Ulaanbaatar, Mongolia","₹3,557 per night",New,https://a0.muscache.com/im/pictures/2bc90e52-dffd-493d-9d94-5261d6ed77b7.jpg?im_w=720
18841959,"Hatgal, Mongolia","₹4,560 per night",4.6,https://a0.muscache.com/im/pictures/0a1f32ab-7348-459a-9b00-828992b8a396.jpg?im_w=720
40492333,"Orkhon, Mongolia","₹2,098 per night",New,https://a0.muscache.com/im/pictures/24aa9514-4ae2-4023-8ebc-3db0b6b6c9d5.jpg?im_w=720
23407630,"Bayan-Ulgii, Mongolia","₹2,280 per night",New,https://a0.muscache.com/im/pictures/559c1424-3c3f-4486-bf98-54db563ce1bb.jpg?im_w=720
17408225,"Dalanzadgad, Mongolia","₹3,648 per night",New,https://a0.muscache.com/im/pictures/80d3f512-baf7-40b6-a8a0-2f27ae52ed78.jpg?im_w=720
32995271,"Bishkek, Kyrgyzstan",₹655 per night,New,https://a0.muscache.com/im/pictures/2b25d90a-0af7-4c47-a98f-a1a63feae4ee.jpg?im_w=720
3203447,"Ulaanbaatar, Mongolia","₹6,658 per night",5.0,https://a0.muscache.com/im/pictures/20389209-5aec-43c7-9631-d4d8aada2ac1.jpg?im_w=720
19318660,"Murun, Mongolia","₹5,472 per night",New,https://a0.muscache.com/im/pictures/b9d0ea75-ee37-438b-8c06-d1a0416b8eed.jpg?im_w=720
6614462,"Grigorievka, Kyrgyzstan","₹3,271 per night",5.0,https://a0.muscache.com/im/pictures/83347231/3ec94a82_original.jpg?im_w=720
26153532,"Gachuurt, Mongolia","₹4,104 per night",New,https://a0.muscache.com/im/pictures/c63bbe67-8432-4469-836c-008d2aa2d6e4.jpg?im_w=720
33360188,"Tatyr, Kyrgyzstan","₹1,642 per night",New,https://a0.muscache.com/im/pictures/6c5351a6-d66e-4bc9-8557-e9db5a036248.jpg?im_w=720
24126094,"Kyrgyz-Ata, Kyrgyzstan","₹1,368 per night",New,https://a0.muscache.com/im/pictures/5f95453c-3741-4fc5-95fd-fe1d7260cda4.jpg?im_w=720
39427123,"Bat-Öldziï, Mongolia","₹2,462 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-39427123/original/6ead31f4-19f5-49ab-9e83-526239424523.jpeg?im_w=720
31394943,"Ulaanbaatar , Mongolia","₹1,817 per night",New,https://a0.muscache.com/im/pictures/f658dcfd-a271-40d0-b9db-3bf8bfa34cdc.jpg?im_w=720
33208490,"Tosor, Kyrgyzstan","₹2,052 per night",New,https://a0.muscache.com/im/pictures/b82c0a78-ff1e-44bf-ab79-3174b51c03c3.jpg?im_w=720
36781323,"Bayan, Mongolia","₹10,033 per night",New,https://a0.muscache.com/im/pictures/017be485-7ebf-46cc-b93b-0d077b986e16.jpg?im_w=720
17985434,"Ulaanbaatar, Mongolia","₹10,306 per night",New,https://a0.muscache.com/im/pictures/90fb2230-5681-47c7-82ed-566805ccf37a.jpg?im_w=720
40241491,"Ulaanbaatar, Mongolia","₹8,938 per night",New,https://a0.muscache.com/im/pictures/e31308d3-6bae-408e-a162-8e8c4d7ca312.jpg?im_w=720
4900791,"IL, Israel","₹9,803 per night",New,https://a0.muscache.com/im/pictures/61465583/368044fa_original.jpg?im_w=720
35087835,"Kharkhorin, Mongolia",₹912 per night,New,https://a0.muscache.com/im/pictures/b9e2cabf-a543-4d16-95ad-235819299db8.jpg?im_w=720
22109026,"Ulaanbaatar, Mongolia","₹1,824 per night",New,https://a0.muscache.com/im/pictures/49e0e388-9761-45ca-b19d-b7c4aa487232.jpg?im_w=720
36080424,"Hatgal, Mongolia","₹2,736 per night",5.0,https://a0.muscache.com/im/pictures/cb81fe9f-e7f0-4b88-bdb5-d5137720d5f7.jpg?im_w=720
21256488,"Ulgii, Mongolia","₹4,594 per night",New,https://a0.muscache.com/im/pictures/61b44d57-23b9-4e85-8053-f46155dacc92.jpg?im_w=720
42730972,"Khanbogd, Mongolia","₹4,560 per night",New,https://a0.muscache.com/im/pictures/7d0c4cbe-c16a-4733-bee1-daf26d7fe7be.jpg?im_w=720
26474271,"Ulaanbaatar, Mongolia","₹3,192 per night",New,https://a0.muscache.com/im/pictures/74fea48e-4b9a-4622-a409-1e1e260c9c7e.jpg?im_w=720
34518709,"Ulaanbaatar, Mongolia","₹8,208 per night",New,https://a0.muscache.com/im/pictures/6f5191b8-2042-43cc-bee9-d7dc9604430c.jpg?im_w=720
43143434,"Khujirt, Mongolia","₹4,765 per night",New,https://a0.muscache.com/im/pictures/3a8d6178-601d-48e8-91fd-29f9d83a0dbc.jpg?im_w=720
35769989,"Hatgal, Mongolia","₹4,560 per night",New,https://a0.muscache.com/im/pictures/0a1f32ab-7348-459a-9b00-828992b8a396.jpg?im_w=720
22172196,"Bokonbayevo, Kyrgyzstan","₹1,277 per night",New,https://a0.muscache.com/im/pictures/b3c8d75f-2887-47fb-a7f9-015605ed8960.jpg?im_w=720
37854209,"Tong, Kyrgyzstan","₹1,368 per night",New,https://a0.muscache.com/im/pictures/ae0ea88f-0d19-47f9-b08d-4a36c5957db4.jpg?im_w=720
26376508,"Altanbulag, Mongolia","₹8,237 per night",New,https://a0.muscache.com/im/pictures/8e0bb872-22be-44e2-a8db-e5ee8d33e582.jpg?im_w=720
26153874,"Ulgii, Mongolia","₹8,208 per night",New,https://a0.muscache.com/im/pictures/4e29f06d-7468-48b5-909c-d761b57c1e5b.jpg?im_w=720
42854698,"Dundgovi, Mongolia","₹1,744 per night",New,https://a0.muscache.com/im/pictures/38616d93-2ba2-4a0f-81c1-529fe9c01167.jpg?im_w=720
26445275,"Kharkhorin, Mongolia","₹2,006 per night",New,https://a0.muscache.com/im/pictures/8e4ff615-bcd3-4d1a-aa29-3a57f788300e.jpg?im_w=720
32393176,"Ulgii, Mongolia","₹1,824 per night",New,https://a0.muscache.com/im/pictures/d2a7a93e-7dd1-410c-96bd-706e7df93d5f.jpg?im_w=720
42759884,"Bat-Öldziï, Mongolia","₹2,462 per night",New,https://a0.muscache.com/im/pictures/178505bf-a1f7-4605-907e-74500d99db3d.jpg?im_w=720
23134293,"Osh, Kyrgyzstan","₹1,824 per night",New,https://a0.muscache.com/im/pictures/22d1d3f5-6c23-494a-99d3-8e21cd4586f7.jpg?im_w=720
26852853,"Gulcha, Kyrgyzstan","₹2,280 per night",New,https://a0.muscache.com/im/pictures/510f923b-8f52-492d-b761-45b9cda50193.jpg?im_w=720
41218169,"Hatgal, Mongolia","₹5,472 per night",New,https://a0.muscache.com/im/pictures/1321b406-ba69-41d5-9bf0-0ed8d498cb71.jpg?im_w=720
